Volume,Issue,Accessed from,Date published,Editor,Credits ,Total pages,Price,Published by,Printed by ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,GWL,1979,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Hanway Print Centre, Islington, London",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,GWL,1979,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,GWL,1979,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9,GWL,1980,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11,GWL,1980,Jackie Forster,"Bridget, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Valerie Taylor",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1,GWL,1980,Jackie Forster,"Brenda, Geraldine, Helen, Irene, Joyce, Jenny, Kate, Nikki, Rosemary, Jackie, Sally, Shelley, Dark Moon, W11",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,GWL,1980,Jackie Forster,"Carolyn, Di, Geraldine, Irene, Joyce, Lesley, Linda, Kate, Margaret, Rosie, Rosemary, Sally, Shelley, Dark Moon W11",20,50p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Nettie, Kate, Rosemary, Rosie, Sally, Shelley, Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Nettie, Kate, Rosemary, Rosie, Sally,  Shelley,  Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Nettie, Kate, Rosemary, Rosie, Sally,  Shelley,  Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11,GWL,1981,Jackie Forster,"Di, Geraldine, Irene, Jackie, Joyce, Lesley, Linda, Zoe, Marie, Marilyn, Christabelle,  Rosemary, Rosie, Sally, Shelley, Dark Moon W11",20,60p,Sappho Publications LTD,"Onlywomen Press, 38 Mount Pleasant, London WC1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
